link,price,sold
https://www.lazada.vn/products/hoa-toc-2h-cuc-phat-wifi-sim-4g-usb-4g-dongle-lte-ho-tro-phat-3g-4g-tu-sim-toc-do-150-mbps-ho-tro-hau-het-cac-nha-mang-i2580562698.html,"₫195,000",328 sold
https://www.lazada.vn/products/usb-modem-wifi-i2486848987.html,"₫99,000",11 sold
https://www.lazada.vn/products/new-wireless-wifi-4g-lte-portable-router-150mbps-usb-dongle-modem-stick-mobile-broadband-sim-card-adapter-mu-mimo-home-office-i2620025585.html,"₫91,793",18 sold
https://www.lazada.vn/products/new-wireless-wifi-4g-lte-portable-router-150mbps-usb-dongle-modem-stick-mobile-broadband-sim-card-adapter-mu-mimo-home-office-i2619975832.html,"₫59,849",60 sold
https://www.lazada.vn/products/router-wifi-cuc-phat-wifi-4g-dung-sim-wifi-khong-day-bo-dinh-tuyen-ang-ten-diem-phat-song-tai-nha-i1583951390.html,"₫540,742",1.1K sold
https://www.lazada.vn/products/bo-phat-song-wifi-tu-sim-4g-pix-link-usb-modem-usb-phat-wifi-4g-lte-tu-sim-4g-dcom-phat-wifi-di-dong-toc-do-cao-phu-song-rong-i2307228855.html,"₫239,000",42 sold
https://www.lazada.vn/products/zbt-500mbps-4g-sim-card-router-modem-hotspot-4g-lte-wifi-router-ho-tro-bat-ky-chuc-nang-bao-tri-bao-mat-the-simusim-4g-co-the-ket-noi-len-den-32-nguoi-dung-ang-ten-voi-khe-cam-the-sim-i2390067034.html,"₫449,808",349 sold
https://www.lazada.vn/products/usb-dcom-wifi-modem-4g-lte-hang-chinh-hang-dung-duoc-cho-tat-ca-cac-mang-di-dong-bao-hanh-1-doi-1-tu-muong-thanh-royal-i1651570084.html,"₫189,000",37 sold
https://www.lazada.vn/products/usb-4g-lte-phat-wifi-tu-sim-3g4g-dung-duoc-tat-ca-nha-mang-bo-phat-wifi-di-dong-usb-3g-i2330672851.html,"₫108,000",162 sold
https://www.lazada.vn/products/1010-voucher-10-router-4g-lap-sim-vao-la-dung-duoc-ngay-khong-cai-dat-co-the-cam-day-mang-lan-4g3g-wifi-4g-router-wifi-4g-khong-day-i2289133243.html,"₫661,000",111 sold
https://www.lazada.vn/products/bao-hanh-12t-modem-wifi-tplink-router-wifi-tplink-xuyen-tuong-bang-tan-kep-ac-1200-mbps-bo-phat-wifi-tplink-4-rau-cuc-phat-wifi-thiet-bi-phat-song-wifi-xuyen-tuong-wifi-tplink-i1420065201.html,"₫225,000",70 sold
https://www.lazada.vn/products/uu-dai-gia-socrouter-wifi-4g-lap-sim-vao-la-dung-duoc-ngay-khong-cai-dat-co-the-cam-day-mang-lan-4g3g-wifi-4g-wireless-router-mifi-4g-wifi-portable-dung-duoc-3g-4g-cho-moi-dien-thoai-i2292743929.html,"₫661,000",41 sold
https://www.lazada.vn/products/router-wifi-xiaomi-mini-kich-song-wifi-bang-tan-kep-24ghz-va-5ghz-toc-do-cao-ac1200mbps-usb-20-usb-4g-i2441639025.html,"₫168,000",64 sold
https://www.lazada.vn/products/bo-phat-wifi-tplink-3-rau-880n-like-new-95-song-xuyen-tuong-toc-do-450-mbps-modem-wifi-3-rau-router-wifi-cuc-phat-wifi-tplink-thiet-bi-kich-song-wifi-hang-thanh-ly-95-i1803575611.html,"₫135,000",216 sold
https://www.lazada.vn/products/router-wifi-4g-olax-u80-elite-modem-usb-phien-ban-moi-phat-wifi-cuc-manh-tu-sim-4g-de-dang-su-dung-bh-3-thang-loi-doi-moi-i1237159313.html,"₫355,000",866 sold
https://www.lazada.vn/products/bo-phat-wifi-tplink-modem-wifi-tplink-842n-2-rau-like-new-95-chuan-toc-do-300-mbps-phat-song-khoe-cuc-phat-wifi-bo-kich-song-wifi-bh-6-thang-i1803508645.html,"₫95,000",691 sold
https://www.lazada.vn/products/bao-hanh-12t-bo-phat-wifi-tplink-modem-wifi-842n-chuan-300-mbps-cuc-phat-wifi-tplink-router-wifi-cuc-phat-song-wifi-wifi-tplink-hang-cu-i1417997183.html,"₫82,000",406 sold
https://www.lazada.vn/products/bo-phat-wifi-tp-link-tl-wr840n-wr740n-modem-wifi-router-tp-link-tl-wr841n-wr741n-cuc-phat-wifi-tplink-841n-840n-740n-741n-thu-phat-song-wifi-kich-song-wifi-i1297223434.html,"₫107,000",1.1K sold
https://www.lazada.vn/products/4g-lte-modem-wifi-toc-do-cao-usb-adapter-khong-day-type-c-hotspot-di-dong-cho-rv-du-lich-cam-trai-tu-xa-khu-vuc-i2913457882.html,"₫483,200",106 sold
https://www.lazada.vn/products/router-wifi-xuyen-tuong-modem-wifi-bang-tan-kep-4-rau-wifi-tplink-3320-ac600-i1477458051.html,"₫149,000",416 sold
https://www.lazada.vn/products/bo-dinh-tuyen-wifi-khong-day-di-dong-4g-usb-dongle-co-khe-cam-the-sim-150mbps-8-nguoi-dung-hotspot-wifi-modem-usb-cho-ket-noi-tren-duong-di-i2657299131.html,"₫238,000",91 sold
https://www.lazada.vn/products/bo-phat-wifi-tenda-f3-3-rau-modem-wifi-tenda-3-rau-chuan-toc-do-300-mbps-song-khoe-xuyen-tuong-cuc-kich-song-wifi-router-wifi-khong-day-i1803594283.html,"₫107,000",316 sold
https://www.lazada.vn/products/modem-wifi-3-rau-bo-phat-wifi-tplink-886n-song-xuyen-tuong-chuan-toc-do-450-mbps-cuc-kich-wifi-cuc-phat-wifi-xuyen-tuong-cuc-kich-wifi-khong-day-bo-kich-wifi-bo-phat-wifi-bao-hanh-6-thang-i1803528921.html,"₫99,000",303 sold
https://www.lazada.vn/products/modem-wifi-bo-phat-wifi-4-rau-tplink-5620-bang-tan-kep-chuan-ac1200-song-xuyen-tuong-gia-re-song-khoe-cuc-phat-wifi-4-rau-bo-phat-wifi-4-rau-tplink-xuyen-tuong-kich-song-wifi-khoe-xuyen-tuong-cuc-kich-song-wifi-bh-6-thang-i1803596512.html,"₫199,000",101 sold
https://www.lazada.vn/products/bo-phat-wifi-xuyen-tuong-tplink-6500-5-rau-bang-tan-kep-chuan-ac-1300-mbps-like-new-90-modem-wifi-tplink-router-wifi-xuyen-tuong-i1803533955.html,"₫270,000",70 sold
https://www.lazada.vn/products/bo-phat-wifi-tplink-940n-modem-wifi-router-tp-link-tl-wr940n-chinh-hang-cuc-phat-wifi-wr845n-thu-song-wifi-repeater-tp-link-940-wr1043nd-1043nd-i1299579538.html,"₫107,000",207 sold
https://www.lazada.vn/products/ciosi-modem-4g-usb-lte-bo-dinh-tuyen-wifi-khong-day-300mbps-cho-modem-3g-4g-usb-lte-voi-4-ang-ten-ngoai-80211g-diem-truy-cap-openwrtomni-ii-we1626-i1885759922.html,"₫219,843",5 sold
https://www.lazada.vn/products/cuc-phat-wifi-4-rau-pix-link-lv-wr08-modem-wifi-300mbps-cuong-do-song-khoe-phu-song-rong-hang-chinh-hang-i2005907241.html,"₫359,000",27 sold
https://www.lazada.vn/products/bo-phat-wifi-xiaomi-router-4c4a-dual-wifi-24-5g-bao-hanh-2-nam-i449218441.html,"₫209,000",55 sold
https://www.lazada.vn/products/router-wifi-khong-day-4g-lte-usb-dongle-150mbps-bang-thong-rong-di-dong-bo-tui-hotspot-usb-modem-danh-cho-mang-di-dong-truy-cap-i2891733212.html,"₫219,000",103 sold
https://www.lazada.vn/products/bo-phat-wifi-tp-link-841n-2-rau-co-chuc-nang-kich-wifi-khong-day-router-modem-phat-wifi-tplink-841-i844658774.html,"₫149,000",202 sold
https://www.lazada.vn/products/4g-lte-bo-dinh-tuyen-wi-fi-khe-cam-the-sim-khong-day-thiet-bi-dinh-tuyen-di-dong-3650mah-mo-khoa-modem-mini-ngoai-troi-hotspot-wifi-hotpot-cho-xe-i2573346037.html,"₫432,941",19 sold
https://www.lazada.vn/products/modem-viettel-h646fw-2-bang-tan-da-qua-su-dung-i2250529359.html,"₫80,000",24 sold
https://www.lazada.vn/products/hcm-hang-chinh-hang-modem-adsl-router-wifi-tp-link-150mbps-chipset-qualcomm-td-w8950n-i1084152057.html,"₫99,000",34 sold
